Write to 00000002, data: ffffffff
Write to 00000003, data: 00000000
Write to 00000004, data: 00000000
Write to 00000005, data: 00000000
Write to 00000006, data: 00000000
Write to 00000007, data: 00000000
Write to 00000008, data: 00000000
Write to 00000009, data: 4fffffff
Write to 00000001, data: 00000000
Write to 00000000, data: 00000000
Write to 0000000b, data: 1d00ffff
Write to 0000000c, data: 5846f76b
Write to 0000000d, data: 55b85278
Write to 0000000e, data: 1b9995a4
Write to 0000000f, data: 4c939b64
Write to 00000010, data: e441ae27
Write to 00000011, data: 24b96f99
Write to 00000012, data: c8f4fb9a
Write to 00000013, data: 141cfc98
Write to 00000014, data: 42c4b0e3
Write to 00000015, data: 55b85278
Write to 00000016, data: 1b9995a4
Write to 00000017, data: 4c939b64
Write to 00000018, data: e441ae27
Write to 00000019, data: 24b96f99
Write to 0000001a, data: c8f4fb9a
Write to 0000001b, data: 141cfc98
Write to 0000001c, data: 42c4b0e3
Write to 0000001d, data: 00400000
Writing Bitcoin:  0040000042c4b0e3141cfc98c8f4fb9a24b96f99e441ae274c939b641b9995a455b8527842c4b0e3141cfc98c8f4fb9a24b96f99e441ae274c939b641b9995a455b852785846f76b1d00ffff
Write to 00000001, data: 00000003
Mining...
Read from 00000000, data: 00740363
Prospective Bitcoin Found!
verifying...
Read from 0000000b, data: a40000ff
Read from 0000000c, data: 64a40000
Read from 0000000d, data: 0064a400
Read from 0000000e, data: 990064a4
Read from 0000000f, data: 9a990064
Read from 00000010, data: 989a9900
Read from 00000011, data: 00989a99
Read from 00000012, data: 0000989a
Read from 00000013, data: 00000098
Read from 00000014, data: 64000000
Read from 00000015, data: 00640000
Read from 00000016, data: 00006400
Read from 00000017, data: 00000064
Read from 00000018, data: 98000000
Read from 00000019, data: 00980000
Read from 0000001a, data: 00009800
Read from 0000001b, data: 00000098
Read from 0000001c, data: 40000000
Read from 0000001d, data: 00400000
Read from 0000000a, data: 0000ff00
Bitcoin is valid!
Bitcoin:    49892c4736fd68490234a1dc574710f29a0d8b33fa548977f081cdb2958d9108
Difficulty: 4fffffff000000000000000000000000000000000000000000000000ffffffff

Write to 00000001, data: 00000000
Write to 00000000, data: 00000000
Write to 0000000b, data: 1d00ffff
Write to 0000000c, data: 5846f76b
Write to 0000000d, data: 55b85278
Write to 0000000e, data: 1b9995a4
Write to 0000000f, data: 4c939b64
Write to 00000010, data: e441ae27
Write to 00000011, data: 24b96f99
Write to 00000012, data: c8f4fb9a
Write to 00000013, data: 141cfc98
Write to 00000014, data: 42c4b0e3
Write to 00000015, data: 55b85278
Write to 00000016, data: 1b9995a4
Write to 00000017, data: 4c939b64
Write to 00000018, data: e441ae27
Write to 00000019, data: 24b96f99
Write to 0000001a, data: c8f4fb9a
Write to 0000001b, data: 141cfc98
Write to 0000001c, data: 42c4b0e3
Write to 0000001d, data: 00400000
Writing Bitcoin:  0040000042c4b0e3141cfc98c8f4fb9a24b96f99e441ae274c939b641b9995a455b8527842c4b0e3141cfc98c8f4fb9a24b96f99e441ae274c939b641b9995a455b852785846f76b1d00ffff
Write to 00000001, data: 00000003
Mining...
Read from 00000000, data: 00000334
Read from 0000000b, data: 000000ff
Read from 0000000c, data: 64000000
Read from 0000000d, data: 00640000
Read from 0000000e, data: 00006400
Read from 0000000f, data: 00000064
Read from 00000010, data: 98000000
Read from 00000011, data: 00980000
Read from 00000012, data: 00009800
Read from 00000013, data: a4000098
Read from 00000014, data: 64a40000
Read from 00000015, data: 0064a400
